@relation sick-weka.filters.unsupervised.attribute.Remove-R19-29-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R7-11-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.Remove-R3

@attribute temperatura numeric
@attribute vlaznost numeric
@attribute pritisk numeric
@attribute letniCasNabiranja {spomlad-jesen,spomlad-zima,celoLeto,jesen,poletje-jesen,poletje-zima}
@attribute tipGobe {mušnica,lisička,golobica,ježek,jurček,prašnica,goban,trhlenka,žveplenjača,trdokožnica,širokolistar,dežnik,ledenka,slivarica,bledivka,poprovka,podvihanec,podvihanka,odpadljivka,mlečnica,ciganček,kresilača,ploskocevka,polstenec}
@attribute letniCas {spomlad,poletje,jesen,zima}
@attribute Class {grem,neGrem}

@data
14.47,63,1022,spomlad-jesen,žveplenjača,poletje,grem
22.23,97,1000,jesen,jurček,jesen,neGrem
11.34,94,1004,poletje-jesen,trhlenka,poletje,neGrem
15.40,65,1014,poletje-jesen,širokolistar,jesen,grem
2.75,54,1022,poletje-jesen,podvihanka,jesen,neGrem
0.69,46,1021,poletje-jesen,podvihanka,jesen,grem
1.06,82,1016,poletje-jesen,podvihanec,jesen,grem
20.78,69,1025,poletje-zima,golobica,poletje,grem
11.62,83,1017,celoLeto,kresilača,spomlad,grem
3.75,69,1012,poletje-jesen,lisička,jesen,grem
25.57,53,1010,celoLeto,kresilača,poletje,grem
22.13,47,1000,poletje-jesen,lisička,poletje,grem
19.97,94,1029,poletje-jesen,poprovka,poletje,neGrem
26.39,82,1008,poletje-jesen,trdokožnica,poletje,neGrem
23.40,95,1010,spomlad-zima,mušnica,poletje,neGrem
14.72,58,1017,celoLeto,kresilača,spomlad,grem
5.51,42,1032,poletje-jesen,odpadljivka,jesen,grem
27.82,71,1010,poletje-jesen,poprovka,poletje,neGrem
26.63,75,1031,poletje-jesen,odpadljivka,poletje,neGrem
23.81,83,1034,celoLeto,kresilača,spomlad,neGrem
21.24,64,1001,poletje-jesen,odpadljivka,poletje,grem
19.19,45,1007,poletje-jesen,podvihanec,jesen,grem
14.17,47,1003,spomlad-jesen,prašnica,spomlad,grem
5.22,59,1020,poletje-jesen,slivarica,jesen,grem
21.54,65,1024,poletje-jesen,podvihanec,jesen,grem
6.31,52,1004,poletje-zima,ježek,jesen,grem
18.38,54,1026,poletje-jesen,trhlenka,jesen,grem
24.02,66,1020,poletje-jesen,lisička,poletje,grem
27.72,64,1011,poletje-zima,golobica,poletje,grem
8.03,83,1008,poletje-zima,golobica,jesen,neGrem
25.01,53,1011,poletje-jesen,mlečnica,poletje,grem
12.56,45,1015,poletje-jesen,slivarica,jesen,grem
0.12,60,1002,poletje-jesen,trdokožnica,jesen,neGrem
0.84,57,1024,poletje-jesen,ledenka,jesen,neGrem
7.86,93,1005,poletje-jesen,trdokožnica,jesen,neGrem
10.38,94,1030,spomlad-zima,mušnica,spomlad,neGrem
16.08,43,1009,poletje-jesen,odpadljivka,jesen,grem
0.16,69,1009,poletje-jesen,polstenec,jesen,grem
5.18,76,1030,poletje-jesen,polstenec,jesen,neGrem
26.46,60,1025,poletje-jesen,slivarica,poletje,grem
24.37,51,1010,poletje-jesen,dežnik,poletje,neGrem
11.01,52,1000,poletje-jesen,poprovka,jesen,grem
21.09,89,1028,poletje-jesen,trdokožnica,poletje,neGrem
16.66,91,1025,celoLeto,ploskocevka,spomlad,neGrem
10.33,57,1009,poletje-jesen,trdokožnica,jesen,grem
24.27,79,1019,poletje-jesen,ledenka,poletje,neGrem
1.98,45,1007,poletje-jesen,širokolistar,jesen,grem
13.08,83,1021,celoLeto,ploskocevka,jesen,neGrem
4.91,78,1020,poletje-zima,ježek,zima,neGrem
18.70,66,1023,spomlad-jesen,žveplenjača,spomlad,grem
0.98,79,1002,jesen,jurček,jesen,neGrem
20.03,94,1015,spomlad-jesen,žveplenjača,spomlad,neGrem
26.14,96,1022,poletje-jesen,bledivka,poletje,neGrem
2.04,61,1024,poletje-zima,ježek,jesen,grem
19.04,86,1013,poletje-jesen,goban,poletje,neGrem
0.38,76,1006,poletje-jesen,polstenec,jesen,grem
6.00,94,1007,celoLeto,kresilača,jesen,neGrem
8.10,75,1010,celoLeto,kresilača,jesen,neGrem
19.22,96,1011,poletje-zima,ježek,poletje,neGrem
17.73,62,1029,jesen,jurček,jesen,grem
19.48,92,1018,poletje-jesen,ledenka,jesen,neGrem
2.46,42,1030,poletje-jesen,mlečnica,jesen,grem
28.06,65,1018,poletje-jesen,ciganček,poletje,grem
1.47,62,1010,poletje-jesen,širokolistar,jesen,grem
14.03,45,1034,poletje-jesen,odpadljivka,jesen,grem
20.72,71,1001,poletje-jesen,trhlenka,jesen,neGrem
